交易号,交易时间,收/支,金额,统计种类,支付状态,交易类型,交易对方,商品,交易来源
1000039901202103216412869666087,2021/1/5 9:55,支出,1.5,餐饮-吃饭,交易成功,即时到账交易,诺康早点,商品,支付宝
1000031001202102216397833275365,2021/1/7 10:27,支出,38,餐饮-吃饭,交易成功,即时到账交易,天津市西青区柏懿快餐店,天津市西青区柏懿快餐店,支付宝
100003100121022100027221610174797738,2021/1/30 21:17,支出,45,餐饮-吃饭,交易成功,即时到账交易,天津市西青区艾克饭店,天津市西青区艾克饭店 210130736261606,支付宝
1000039801202101066407444365164,2021/2/6 18:33,支出,18,餐饮-吃饭,交易成功,即时到账交易,天津市西青区艾克饭店,天津市西青区艾克饭店 210206780578122,支付宝
1000050001202105270203512204151,2021/2/27 12:16,支出,62.6,餐饮-吃饭,交易成功,即时到账交易,婉转小火锅,婉转牛肉小火锅（师范大学店）-消费,支付宝
1000050001202105181900350986108,2021/3/12 19:33,支出,157,餐饮-吃饭,交易成功,即时到账交易,小扁担串串香,二维码支付,支付宝
1000050001202104110801347929796,2021/3/13 11:14,支出,12,餐饮-吃饭,交易成功,即时到账交易,天津鱼本鱼（和平大悦城）,天津鱼本鱼和平大悦城店,支付宝
4200001010202104228490382066,2021/3/13 11:18,支出,12,餐饮-吃饭,交易成功,即时到账交易,天津市池田寿司和平大悦城店,天津市池田寿司和平大悦城店,支付宝
100005000121030900064222189232026738,2021/3/14 8:05,支出,24,餐饮-吃饭,交易成功,即时到账交易,老胜香包子铺,商品,支付宝
100010710121050500058222564022732738,2021/3/15 8:30,支出,15,餐饮-吃饭,交易成功,即时到账交易,小胖包子王,订单:202103150830242077061488,支付宝
100010710121041600058222456377341738,2021/3/18 7:31,支出,18,餐饮-吃饭,交易成功,即时到账交易,邢记肉夹馍,商品,支付宝
100010710121041600058222252795024738,2021/5/13 12:18,支出,15,餐饮-吃饭,交易成功,即时到账交易,羊汤馆北京光华店,羊汤馆北京光华店_10021002105131218290058158557996,支付宝
1000039901013104276067815169061,2021/5/20 19:27,支出,15,餐饮-吃饭,交易成功,即时到账交易,沙县小吃,收钱码收款,支付宝
4200000992202103163962942366,2021/5/27 8:01,支出,6,餐饮-吃饭,交易成功,即时到账交易,牛不理八宝粥,美团收银909700175028664434,支付宝
4200000996202102164741535543,2021/5/29 20:05,支出,45,餐饮-吃饭,交易成功,即时到账交易,一锅香过桥米线天津华苑路店,一锅香过桥米线,支付宝
4200000910202102050772379826,2021/5/30 10:47,支出,15,餐饮-吃饭,交易成功,即时到账交易,天律红桥区旺德福米线店,天津红桥区旺德福米线店,支付宝
4200000915202101261925119414,2021/1/25 10:08,支出,2.5,餐饮-零食/饮料/酒,交易成功,即时到账交易,刘金川,商品,支付宝
4200000914202101059829878216,2021/3/4 10:28,支出,19,餐饮-零食/饮料/酒,交易成功,即时到账交易,吝南南,商品,支付宝
4200000985202104031268778907,2021/3/23 22:51,支出,32.8,餐饮-零食/饮料/酒,交易成功,支付宝担保交易,猫诚旗舰店,乐事薯片零食大礼包网红食品一箱超大包休闲小吃整箱装官方旗舰,支付宝
1000039801003102117078180071448,2021/4/2 19:46,支出,10,餐饮-零食/饮料/酒,交易成功,即时到账交易,天津森洋酒店有限公司,天津森洋酒店有限公司,支付宝
100005000121051200064222668643262738,2021/4/3 16:02,支出,2,餐饮-零食/饮料/酒,交易成功,即时到账交易,蜜雪冰城906557店,销售单,支付宝
100010710121042300058222450020478738,2021/4/3 19:58,支出,12,餐饮-零食/饮料/酒,交易成功,即时到账交易,沏佰杯,沏佰杯（号外店）,支付宝
